"Trial#","S1","S2","S3","Cum Prob"
2908,0,1,0,0.998968363136176
2909,0,0,1,0.99896871777243
2910,0,1,0,0.998969072164948
2911,0,1,0,0.998969426313981
2912,0,1,0,0.99896978021978
2913,0,1,0,0.998970133882595
2914,0,1,0,0.998970487302677
2915,0,1,0,0.998970840480274
2916,0,1,0,0.998971193415638
2917,0,1,0,0.998971546109016
2918,0,1,0,0.998971898560658
2919,0,1,0,0.998972250770812
2920,0,0,1,0.998972602739726
2921,0,1,0,0.998972954467648
2922,0,1,0,0.998973305954825
2923,0,1,0,0.998973657201505
2924,0,1,0,0.998974008207934
2925,0,1,0,0.998974358974359
2926,0,1,0,0.998974709501025
2927,0,1,0,0.998975059788179
2928,0,1,0,0.998975409836066
2929,0,1,0,0.99897575964493
2930,0,1,0,0.998976109215017
2931,0,0,1,0.998976458546571
2932,0,1,0,0.998976807639836
2933,0,1,0,0.998977156495056
2934,0,1,0,0.998977505112474
2935,1,0,0,0.998977853492334
2936,0,1,0,0.998978201634877
2937,0,1,0,0.998978549540347
2938,0,1,0,0.998978897208986
2939,0,1,0,0.998979244641034
2940,0,1,0,0.998979591836735
2941,0,1,0,0.998979938796328
2942,0,0,1,0.998980285520054
2943,0,1,0,0.998980632008155
2944,0,1,0,0.99898097826087
2945,0,1,0,0.998981324278438
2946,0,1,0,0.9989816700611
2947,0,1,0,0.998982015609094
2948,0,1,0,0.998982360922659
2949,0,1,0,0.998982706002035
2950,0,1,0,0.998983050847458
2951,0,1,0,0.998983395459166
2952,0,0,1,0.998983739837398
2953,0,1,0,0.998984083982391
2954,0,1,0,0.99898442789438
2955,0,1,0,0.998984771573604
2956,0,1,0,0.998985115020298
2957,0,0,1,0.998985458234697
2958,0,1,0,0.998985801217039
2959,0,1,0,0.998986143967557
2960,0,1,0,0.998986486486486
2961,0,1,0,0.998986828774063
2962,0,1,0,0.99898717083052
2963,0,1,0,0.998987512656092
2964,0,1,0,0.998987854251012
2965,0,1,0,0.998988195615514
2966,0,0,1,0.998988536749831
2967,0,1,0,0.998988877654196
2968,0,1,0,0.998989218328841
2969,0,1,0,0.998989558773998
2970,0,1,0,0.998989898989899
2971,0,0,0,0.998653651969034
2972,0,1,0,0.998654104979812
2973,0,1,0,0.998654557685839
2974,0,1,0,0.998655010087424
2975,0,1,0,0.998655462184874
2976,0,1,0,0.998655913978495
2977,0,1,0,0.998656365468592
2978,0,1,0,0.998656816655473
2979,0,1,0,0.998657267539443
2980,0,1,0,0.998657718120805
2981,0,1,0,0.998658168399866
2982,0,1,0,0.998658618376928
2983,0,1,0,0.998659068052296
2984,0,1,0,0.998659517426273
2985,0,1,0,0.998659966499162
2986,0,1,0,0.998660415271266
2987,0,1,0,0.998660863742886
2988,0,1,0,0.998661311914324
2989,0,1,0,0.998661759785882
2990,0,1,0,0.998662207357859
2991,0,1,0,0.998662654630558
2992,0,1,0,0.998663101604278
2993,0,1,0,0.998663548279318
2994,0,1,0,0.998663994655979
2995,0,1,0,0.998664440734558
2996,0,1,0,0.998664886515354
2997,0,1,0,0.998665331998665
2998,0,1,0,0.99866577718479
2999,0,1,0,0.998666222074025
3000,0,1,0,0.998666666666667
3001,0,1,0,0.998667110963012
3002,0,1,0,0.998667554963358
3003,0,0,1,0.998667998667999
3004,0,1,0,0.99866844207723
3005,0,1,0,0.998668885191348
3006,0,1,0,0.998669328010645
3007,0,1,0,0.998669770535417
3008,0,1,0,0.998670212765957
3009,0,1,0,0.998670654702559
3010,0,1,0,0.998671096345515
3011,0,1,0,0.998671537695118
3012,0,1,0,0.99867197875166
3013,0,1,0,0.998672419515433
3014,0,1,0,0.998672859986729
3015,0,1,0,0.998673300165837
3016,0,1,0,0.99867374005305
3017,0,1,0,0.998674179648658
3018,0,1,0,0.998674618952949
3019,0,1,0,0.998675057966214
3020,0,0,1,0.998675496688742
3021,0,1,0,0.998675935120821
3022,0,1,0,0.99867637326274
3023,0,1,0,0.998676811114787
3024,0,1,0,0.998677248677249
3025,0,1,0,0.998677685950413
3026,0,1,0,0.998678122934567
3027,0,1,0,0.998678559629997
3028,0,1,0,0.998678996036988
3029,0,1,0,0.998679432155827
3030,0,0,1,0.998679867986799
3031,0,1,0,0.998680303530188
3032,0,0,1,0.99868073878628
3033,0,1,0,0.998681173755358
3034,0,1,0,0.998681608437706
3035,0,1,0,0.998682042833608
3036,0,1,0,0.998682476943347
3037,0,1,0,0.998682910767205
3038,0,1,0,0.998683344305464
3039,0,1,0,0.998683777558407
3040,0,1,0,0.998684210526316
3041,0,1,0,0.998684643209471
3042,0,1,0,0.998685075608153
3043,0,1,0,0.998685507722642
3044,0,1,0,0.998685939553219
3045,0,1,0,0.998686371100164
3046,0,1,0,0.998686802363756
3047,0,1,0,0.998687233344273
3048,0,1,0,0.998687664041995
3049,0,1,0,0.998688094457199
3050,0,1,0,0.998688524590164
3051,0,1,0,0.998688954441167
3052,0,1,0,0.998689384010485
3053,0,1,0,0.998689813298395
3054,0,0,1,0.998690242305174
